knowledge	sindresorhus/awesome	499711	2026-08-21T12:39:13Z	false	CC0-1.0	-	😎 Awesome lists about all kinds of interesting topics [NOTE: Pull requests are temporarily disabled until I have a chance to catch up with the existing ones]
knowledge	vinta/awesome-python	315927	2026-08-25T04:08:40Z	false	NOASSERTION	Python	The definitive list that answers "I want to do X in Python, which tool should I use?"
knowledge	awesome-selfhosted/awesome-selfhosted	314875	2026-08-22T18:55:56Z	false	NOASSERTION	-	A list of Free Software network services and web applications which can be hosted on your own servers
knowledge	trimstray/the-book-of-secret-knowledge	240223	2024-11-19T14:00:38Z	false	MIT	-	A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.
knowledge	avelino/awesome-go	182172	2026-08-25T00:32:48Z	false	MIT	Go	A curated list of awesome Go frameworks, libraries and software
knowledge	521xueweihan/HelloGitHub	172798	2026-08-02T07:58:25Z	false	NONE	Python	:octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.
knowledge	Hack-with-Github/Awesome-Hacking	118989	2026-07-26T03:29:02Z	false	CC0-1.0	-	A collection of various awesome lists for hackers, pentesters and security researchers
knowledge	jaywcjlove/awesome-mac	111745	2026-08-25T06:14:36Z	false	CC0-1.0	Swift	 This project is dedicated to collecting high-quality macOS software and organizing them systematically by different categories for easy search and use.
knowledge	papers-we-love/papers-we-love	108978	2026-08-24T09:14:23Z	false	NONE	Shell	Papers from the computer science community to read and discuss.
knowledge	ruvnet/RuView	91538	2026-08-25T06:15:04Z	false	MIT	Rust	π RuView turns commodity WiFi signals into real-time spatial intelligence, vital sign monitoring, and presence detection — all without a single pixel of video.
knowledge	MunGell/awesome-for-beginners	88693	2026-07-25T07:00:20Z	false	NONE	-	A list of awesome beginners-friendly projects.
knowledge	DopplerHQ/awesome-interview-questions	84201	2024-07-29T14:21:23Z	true	NONE	-	:octocat: A curated awesome list of lists of interview questions. Feel free to contribute! :mortar_board: 
knowledge	enaqx/awesome-react	74391	2026-08-20T07:58:12Z	false	NONE	-	A collection of awesome things regarding React ecosystem
knowledge	binhnguyennus/awesome-scalability	73516	2026-01-04T03:51:47Z	false	MIT	-	The Patterns of Scalable, Reliable, and Performant Large-Scale Systems
knowledge	fffaraz/awesome-cpp	72922	2026-08-22T08:36:07Z	false	MIT	-	A curated list of awesome C++ (or C) frameworks, libraries, resources, and shiny things. Inspired by awesome-... stuff.
knowledge	prakhar1989/awesome-courses	70651	2023-05-04T12:49:34Z	false	NONE	-	:books: List of awesome university courses for learning Computer Science!
knowledge	sindresorhus/awesome-nodejs	66621	2026-05-03T08:24:10Z	false	CC0-1.0	-	:zap: Delightful Node.js packages and resources [BECAUSE OF TOO MUCH SPAM AND LOW-QUALITY SUBMISSIONS, SUBMISSIONS ARE PAUSED UNTIL JULY]
knowledge	Solido/awesome-flutter	60998	2026-04-21T19:06:09Z	false	NONE	Dart	An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more.
knowledge	rust-unofficial/awesome-rust	58962	2026-08-24T07:28:27Z	false	CC0-1.0	Rust	A curated list of Rust code and resources.
knowledge	tiimgreen/github-cheat-sheet	58704	2024-04-15T20:15:56Z	false	MIT	-	A list of cool features of Git and GitHub.
knowledge	wasabeef/awesome-android-ui	57334	2026-06-05T05:39:52Z	false	MIT	-	A curated list of awesome Android UI/UX libraries
